			도서출판 한티재 출간 도서 목록								ㄴ					
No.	분 야	시리즈	제 목	부 제	지은이	옮긴이	발행일	쪽수	 가격	판형	ISBN	선정 / 추천 / 수상	절판 여부	전자책	전자책 ISBN (시리즈  ISBN)	원고량
78	문학		 백신애, 소문 속에서 진실 찾기	일제강점기 대표적 여성 작가 백신애를 모델로 한 일본어 소설 연구	서영인, 이승신 엮음		2017-12-30	288쪽	  15,000 	145*215	978-89-97090-79-2 (03810)					
79	사회과학	교양문고 004	생태민주주의	모두의 평화를 위한 정치적 상상력	구도완		2018-01-08	204쪽	  13,000 	125*188	978-89-97090-78-5 (04300)	2018 올해의 청소년 교양도서				
80	시	한티재 시선 011	어처구니는 나무로 만든다	이중기 시집	이중기		2018-01-29	124쪽	  8,000 	125*200	978-89-97090-80-8 (03810)					
81	사회과학	팸플릿 010	정당과 민주주의	진보정치의 경험과 조직 내부 민주주의	손우정		2018-03-05	124쪽	  10,000 	130*185	978-89-97090-81-5 (04340)					
82	사회과학 / 칼럼		송기호의 밥과 법	더불어 사는 삶, 정의로운 사회를 향한 희망과 실천	송기호		2018-03-10	292쪽	  15,000 	140*215	978-89-97090-82-2 (03300)					
83	사회과학 / 칼럼		캐비닛의 비밀	국회의원 이재정의 적폐청산 프로젝트	이재정, 전진한		2018-03-26	264쪽	  15,000 	140*215	978-89-97090-83-9 (03300)					
84	에세이		책방 풀무질	동네서점 아저씨 은종복의 25년 분투기	은종복		2018-04-01	236쪽	  13,000 	128*198	978-89-97090-84-6 (03810)					
85	문학 / 에세이		문학과의 동행	염무웅 대담집	염무웅		2018-04-23	480쪽	  22,000 	130*200	978-89-97090-85-3 (03810)					
86	사회과학 / 과학	팸플릿 011	굿바이! 카	내연기관자동차와 전기차의 미래	남준희, 김민재		2018-05-14	158쪽	  9,000 	130*185	978-89-97090-86-0 (04550)			● 	979-11-90178-08-2 (05550)	
87	시	한티재 시선 012	쇳밥	김종필 시집	김종필		2018-06-01	128쪽	  8,000 	125*200	978-89-97090-87-7 (03810)					
88	사회과학 / 에세이		커밍아웃 스토리	성소수자와 그 부모들의 이야기	성소수자부모모임		2018-06-11	380쪽	  16,000 	140*210	978-89-97090-88-4 (03810)	2018 세종도서 교양부문 선정 도서		●	978-89-97090-96-9 (05810)	
89	문학	교양문고 005	진달래꽃에 갇힌 김소월 구하기	새롭게 읽는 소월의 시	박일환		2018-07-02	340쪽	  15,000 	125*188	978-89-97090-89-1 (04810)					
90	문학 / 에세이		리얼리스트 김수영	자유와 혁명과 사랑을 향한 여정	황규관		2018-07-30	356쪽	  16,000 	135*205	978-89-97090-90-7 (03810)			● 	979-11-90178-09-9 (05810)	
91	사회과학	팸플릿 012	인권이란 무엇인가	인권민주주의를 위한 헌법 강의	김해원		2018-08-20	180쪽	  10,000 	130*185	978-89-97090-91-4 (04080)	2019 세종도서 교양부문 선정 도서		● 	979-11-90178-06-8 (05300)	
92	시	한티재 시선 013	무향민의 노래	박기영 시집	박기영		2018-09-10	168쪽	  8,000 	125*200	978-89-97090-92-1 (03810)					
93	사회과학	팸플릿 013	알기 쉬운 청탁금지법 강의	위반사례 중심으로 보는 '김영란법' 가이드북	이지문		2018-09-28	264쪽	  12,000 	130*185	978-89-97090-93-8 (04300)					
94	사회과학	팸플릿 014	토지공개념, 행복한 세상의 기초	지공주의의 이론과 실천	김윤상		2018-10-22	180쪽	  10,000 	130*185	978-89-97090-94-5 (04300)					
95	사회과학	팸플릿 014	마을공화국, 상상에서 실천으로	진정한 민주공화국을 위하여	신용인		2019-03-18	188쪽	  10,000 	130*185	978-89-97090-95-2 (04300)					466매
96	시	한티재 시선 014	사계	변홍철 시집	변홍철		2019-03-25	120쪽	  9,000 	125*200	978-89-97090-97-6 (03810)					
97	시 / 청소년시	한티재 시선 015	너도바람꽃	교사 시인 조재형의 청소년시 	조재형		2019-04-15	104쪽	  9,000 	148*210	978-89-97090-98-3 (43810)	2019 ARKO 문학나눔 선정 도서				
98	철학 / 에세이		둥글이, 싸움의 철학		박성수		2019-07-05	308쪽	  15,000 	123*188	979-11-90178-07-5 (03100)					
99	문학	교양문고 006	조선의 영혼을 훔친 노래들	시조로 만나는 조선의 풍경	김용찬		2019-08-05	412쪽	  16,000 	125*188	978-89-97090-99-0 (04810)					
100	사회과학	팸플릿 016	1.5 :  그레타 툰베리와 함께	기후위기 비상행동을 위한 긴급 메시지	한재각 엮음		2019-09-02	126쪽	  10,000 	130*185	979-11-90178-10-5 (04300)					
101	시	한티재 시선 016	유리구슬은 썩지 않는다	이정연 시집	이정연		2019-09-04	132쪽	  9,000 	125*200	979-11-90178-11-2 (03810)					
102	문학 / 에세이	한티재 산문선 01	굿바이, 마치 오늘이 마지막인 것처럼	노인요양병원 원장 노태맹 시인의 '늙음'과 '죽음'에 관한 에세이	노태맹		2019-09-23	152쪽	  13,000 	120*190	979-11-90178-12-9 (03810)					
103	문학 / 에세이	한티재 산문선 02	영화, 도시를 캐스팅하다	한국영화가 사랑한 도시, 도시가 만난 영화	백정우		2019-09-30	144쪽	  13,000 	120*190	979-11-90178-14-3 (03810)					
104	예술		웹소설 작가의 일	웹 환경 이해와 소설 창작을 위한 길잡이	김준현		2019-10-07	320쪽	  15,000 	128*188	979-11-90178-13-6 (03800)			● 	979-11-90178-15-0 (05800)	
105	인문 / 사회		배를 돌려라: 대한민국 대전환	공생·공유·공정사회를 위한 밑그림 	하승수		2019-11-04	260쪽	  15,000 	130*195	979-11-90178-19-8 (03300)					
106	시 / 청소년시	한티재 시선 017	푸른 돌밭	최정 시집	최정		2019-11-11	140쪽	  9,000 	125*200	979-11-90178-21-1 (03810)					
107	인문 / 에세이		삼국시대의 꽃 이야기	원예학자와 떠나는 역사 속 꽃 여행	김규원		2019-12-23	244쪽	  15,000 	130*195	​979-11-90178-22-8 (03810)					
108	사회과학	팸플릿 017	남북 신통상	평화와 번영으로 가는 새로운 길	송기호		2020-01-06	188쪽	  11,000 	130*185	979-11-90178-23-5 (04340)					
109																
110																
111																
112																
113																
114																
115																
116																
117																
